,Text
58,Let's see @realDonaldTrump &amp; @HillaryClinton walk up/down a staircase without the use of a railing for support. #SimpleTest #WhoIsUnfit
59,"RT @8richard6: @HillaryClinton How much money did the Clinon Foundation give to her loyal voters in New Orleans after Katrina. ""answer""  Ze"
60,"RT @HillaryforPA: From good-paying jobs to college debt relief, @HillaryClinton has a plan to lift up Millennials. sFecOA"
61,"I go on Record now,
Crooked @HillaryClinton
Gonna Skip the Debates
Use any Excuse Necessary
@julieblue917 CC'd @LodiSilverado"
62,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
63,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https"
64,"RT @zachhaller: How @HillaryClinton &amp; her top aides lead by example:
By skipping *required ethics trainings*
pIuZLEUalg https:"
65,"RT @TheLastRefuge2: Hint: She's running for President.  [@HillaryClinton ]
And don't worry, no-one else can find her either. "
66,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:"
67,"@URAFRAUD1 @mcuban @HillaryClinton Ok, I would prefer anger but mirrored deflection is good too.  You are in a safe place.  Let's talk."
68,Can't wait to fly to North Dakota tomorrow and campaign to make sure that @HillaryClinton is elected President of the United States!
69,@easilytriggered @DJD @HillaryClinton stop supporting the party of the KKK then we'll see where youre imagined sexism goes.
70,RT @Janetlarose1: How can you play hide&amp;seek with the American people when you want the most important job in the world #WheresHillary http
71,@kharyp @LadyGreyJewelry @immcouncil @Everytown @HillaryClinton Stay happy on that Democrat Plantation that LBJ built for you!
72,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
73,RT @mericangirlz: .@HillaryClinton will work so hard for the American People. Like 3 days a month #HillarysHealth #WheresHillary .
74,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
75,RT @cmagill: a Navy sailor will spend a year in prison for the same crime @HillaryClinton committed and using the same defence she used. Is
